TITEL,"MODERNE ATTIKA-WOHNUNG MIT GROSSER
DACHTERRASSE IN UNMITTELBARER SEENÄHE","MODERNO APPARTAMENTO MANSARDATO CON GRANDE TERRAZZA SUL TETTO
NELLE IMMEDIATE VICINANZE DEL LAGO","MODERN ATTIC APARTMENT WITH LARGE
ROOF TERRACE IN THE IMMEDIATE VICINITY OF THE LAKE"
UNTERTITEL,PH160 - Desenzano del Garda,IT PH160 - Desenzano del Garda,PH160 - Desenzano del Garda
TITEL_BILD,titel_bild.jpeg,titel_bild.jpeg,titel_bild.jpeg
EINDRUCK_ORDNER,Wohnung-Gardasee,Wohnung-Gardasee,Wohnung-Gardasee
PROPERTY_TYPE,Wohnung,Wohnung,Wohnung
ROOM_FOR_PAYMENT,10,10,10
BEDROOM_FOR_PAYMENT,2,2,2
BATHROOM_FOR_PAYMENT,2,2,2
GROSS_AREA,90 m²,90 m²,90 m²
RETAIL_SPACE,150 m²,150 m²,150 m²
PURCHASE_PRICE,575.000 EUR,575.000 EUR,575.000 EUR
ELEVATOR,ja,ja,ja
PARKING_SPACE,Doppelgarage,Doppio garage,Double garage
PURCHASE_PRICE_GARAGE,Inkludiert,Incluso,Included
FLOOR,2. Etage,2° piano,2nd floor
TYPE_OF_HEATING,Fußbodenheizung,Riscaldamento a pavimento,Underfloor heating
AIR_CONDITIONING,moderne Splitgeräte,Moderni elettrodomestici split,Modern split appliances
ENERGY_SOURCE,Wärmepumpe,Pompa di calore,Heat pump
ENERGY_EFFICIENCY_CLASS,"Legge 90/2013, A","Legge 90/2013, A","Legge 90/2013, A"
ENERGY_PERFORMANCE_INDEX,"72,82 kWh/m²a","72,82 kWh/m²a",72.82 kWh/m²a
