TITEL,"MODERNE ATTIKA-WOHNUNG MIT GROSSER
DACHTERRASSE IN UNMITTELBARER SEENÄHE","IT MODERNE ATTIKA-WOHNUNG MIT GROSSER
DACHTERRASSE IN UNMITTELBARER SEENÄHE","MODERNE ATTIKA-WOHNUNG MIT GROSSER
DACHTERRASSE IN UNMITTELBARER SEENÄHE"
UNTERTITEL,PH160 - Desenzano del Garda,IT PH160 - Desenzano del Garda,PH160 - Desenzano del Garda
TITEL_BILD,titel_bild.jpeg,titel_bild.jpeg,titel_bild.jpeg
EINDRUCK_ORDNER,Wohnung-Gardasee,Wohnung-Gardasee,Wohnung-Gardasee
OBJEKTTYP,Wohnung,Wohnung,Wohnung
ANZAHLZIMMER,10,10,10
ANZAHLSCHLAFZIMMER,2,2,2
ANZAHLBADEZIMMER,2,2,2
BRUTTOFLÄCHE,90 m²,90 m²,90 m²
HANDELSFLÄCHE,150 m²,150 m²,150 m²
KAUFPREISIMMOBILIE,575.000 EUR,575.000 EUR,575.000 EUR
FAHRSTUHL,ja,ja,ja
PKWSTELLFLÄCHEN,Doppelgarage,Doppelgarage,Doppelgarage
KAUFPREISGARAGE,Inkludiert,Inkludiert,Inkludiert
ETAGE,2. Etage,2. Etage,2. Etage
HEIZUNGSART,Fußbodenheizung,Fußbodenheizung,Fußbodenheizung
KLIMATISIERUNG,moderne Splitgeräte,moderne Splitgeräte,moderne Splitgeräte
ENERGIETRÄGER,Wärmepumpe,Wärmepumpe,Wärmepumpe
ENERGIEEFFIZIENZKLASSE,"Legge 90/2013, A","Legge 90/2013, A","Legge 90/2013, A"
ENERGIELEISTUNGSINDEX,"72,82 kWh/m²a","72,82 kWh/m²a","72,82 kWh/m²a"
BESCHREIBUNG,Erleben Sie hochwertiges Wohnen in dieser modernen Attika-Wohnung,Erleben Sie hochwertiges Wohnen in dieser modernen Attika-Wohnung,Erleben Sie hochwertiges Wohnen in dieser modernen Attika-Wohnung
AUSSTATTUNG,- Die Einbauküche ist im Kaufpreis nicht inkludiert und kann für 2,- Die Einbauküche ist im Kaufpreis nicht inkludiert und kann für 2,- Die Einbauküche ist im Kaufpreis nicht inkludiert und kann für 2
LAGEBESCHREIBUNG,Diese traumhafte Attika Wohnung befinde,Diese traumhafte Attika Wohnung befinde,Diese traumhafte Attika Wohnung befinde
DIST.AUTOBAHN(KM),4 km,4 km,4 km
DIST.ZENTRUM(KM),"1,2 km","1,2 km","1,2 km"
DIST.FLUGHAFEN(KM),30 km,30 km,30 km
