TITEL,"MODERNE ATTIKA-WOHNUNG MIT GROSSER
DACHTERRASSE IN UNMITTELBARER SEENÄHE","MODERNO APPARTAMENTO MANSARDATO CON GRANDE TERRAZZA SUL TETTO
NELLE IMMEDIATE VICINANZE DEL LAGO","MODERN ATTIC APARTMENT WITH LARGE
ROOF TERRACE IN THE IMMEDIATE VICINITY OF THE LAKE"
UNTERTITEL,PH160 - Desenzano del Garda,IT PH160 - Desenzano del Garda,PH160 - Desenzano del Garda
TITEL_BILD,titel_bild.jpeg,titel_bild.jpeg,titel_bild.jpeg
EINDRUCK_ORDNER,Wohnung-Gardasee,Wohnung-Gardasee,Wohnung-Gardasee
OBJEKTTYP,Wohnung,Wohnung,Wohnung
ANZAHLZIMMER,10,10,10
ANZAHLSCHLAFZIMMER,2,2,2
ANZAHLBADEZIMMER,2,2,2
BRUTTOFLÄCHE,90 m²,90 m²,90 m²
HANDELSFLÄCHE,150 m²,150 m²,150 m²
KAUFPREISIMMOBILIE,575.000 EUR,575.000 EUR,575.000 EUR
FAHRSTUHL,ja,ja,ja
PKWSTELLFLÄCHEN,Doppelgarage,Doppio garage,Double garage
KAUFPREISGARAGE,Inkludiert,Incluso,Included
ETAGE,2. Etage,2° piano,2nd floor
HEIZUNGSART,Fußbodenheizung,Riscaldamento a pavimento,Underfloor heating
KLIMATISIERUNG,moderne Splitgeräte,Moderni elettrodomestici split,Modern split appliances
ENERGIETRÄGER,Wärmepumpe,Pompa di calore,Heat pump
ENERGIEEFFIZIENZKLASSE,"Legge 90/2013, A","Legge 90/2013, A","Legge 90/2013, A"
ENERGIELEISTUNGSINDEX,"72,82 kWh/m²a","72,82 kWh/m²a","72.82 kWh/m²a"
BESCHREIBUNG,Erleben Sie hochwertiges Wohnen in dieser modernen Attika-Wohnung,Vivete un'esperienza di alta qualità in questo moderno appartamento attico,Experience high-quality living in this modern penthouse apartment
AUSSTATTUNG,- Die Einbauküche ist im Kaufpreis nicht inkludiert und kann für 2,- La cucina attrezzata non è inclusa nel prezzo di acquisto e può essere affittata per 2,- The fitted kitchen is not included in the purchase price and can be rented for 2
LAGEBESCHREIBUNG,Diese traumhafte Attika Wohnung befinde,Questo fantastico attico è situato,This fantastic penthouse apartment is located
DIST.AUTOBAHN(KM),4 km,4 km,4 km
DIST.ZENTRUM(KM),"1,2 km","1,2 km","1,2 km"
DIST.FLUGHAFEN(KM),30 km,30 km,30 km
